WARD SECTION (CONCATENATED),WARD,SECTION,MONTH NAME,MONTH NUMBER,DATES
1612,16,12,JUNE,6,"8,11"
1612,16,12,JULY,7,"17,18"
1612,16,12,AUGUST,8,"22,23"
1612,16,12,SEPTEMBER,9,28
1612,16,12,OCTOBER,10,1
1612,16,12,NOVEMBER,11,"6,7"
1613,16,13,MAY,5,"4,7"
1613,16,13,JUNE,6,"12,13"
1613,16,13,JULY,7,"19,20"
1613,16,13,AUGUST,8,"24,27"
1613,16,13,OCTOBER,10,"2,3"
1613,16,13,NOVEMBER,11,"8,9"
1701,17,1,APRIL,4,"2,3"
1701,17,1,MAY,5,"29,30"
1701,17,1,JULY,7,"25,26"
1701,17,1,SEPTEMBER,9,"20,21"
1702,17,2,APRIL,4,"4,5"
1702,17,2,MAY,5,31
1702,17,2,JUNE,6,1
1702,17,2,JULY,7,"27,30"
1702,17,2,SEPTEMBER,9,"24,25"
1703,17,3,APRIL,4,"6,9"
1703,17,3,JUNE,6,"4,5"
1703,17,3,JULY,7,31
1703,17,3,AUGUST,8,1
1703,17,3,SEPTEMBER,9,"26,27"
1704,17,4,APRIL,4,"10,11"
1704,17,4,JUNE,6,"6,7"
1704,17,4,AUGUST,8,"2,3"
1704,17,4,SEPTEMBER,9,28
1704,17,4,OCTOBER,10,1
1705,17,5,APRIL,4,"12,13"
1705,17,5,JUNE,6,"8,11"
1705,17,5,AUGUST,8,"6,7"
1705,17,5,OCTOBER,10,"2,3"
1706,17,6,APRIL,4,"16,17"
1706,17,6,JUNE,6,"12,13"
1706,17,6,AUGUST,8,"8,9"
1706,17,6,OCTOBER,10,"4,5"
